landkreis_id,landkreis,benzin_euro1,benzin_euro2,benzin_euro3,benzin_euro4,benzin_euro5,benzin_euro6,benzin_euro6d,benzin_euro6dt,benzin_sonstigeemissionsgruppen,diesel_euro1,diesel_euro2,diesel_euro3,diesel_euro4,diesel_euro5,diesel_euro6,diesel_euro6d,diesel_euro6dt,diesel_sonstigeemissionsgruppen,elektro_euro1,elektro_euro2,elektro_euro3,elektro_euro4,elektro_euro5,elektro_euro6,elektro_euro6dt,elektro_sonstigeemissionsgruppen,gas_euro1,gas_euro2,gas_euro3,gas_euro4,gas_euro5,gas_euro6,gas_euro6d,gas_euro6dt,gas_sonstigeemissionsgruppen,hybrid_euro1,hybrid_euro2,hybrid_euro3,hybrid_euro4,hybrid_euro5,hybrid_euro6,hybrid_euro6d,hybrid_euro6dt,hybrid_sonstigeemissionsgruppen,pih_euro2,pih_euro3,pih_euro4,pih_euro5,pih_euro6,pih_euro6d,pih_euro6dt,pih_sonstigeemissionsgruppen,sonstigeantriebe_euro1,sonstigeantriebe_euro2,sonstigeantriebe_euro3,sonstigeantriebe_euro4,sonstigeantriebe_euro5,sonstigeantriebe_euro6,sonstigeantriebe_euro6dt,sonstigeantriebe_sonstigeemissionsgruppen,anzahl_kfz,benzin,diesel,elektro,gas,hybrid,pih,sonstigeantriebe,euro1,euro2,euro3,euro4,euro5,euro6,euro6d,euro6dt,sonstigeemissionsgruppen,vee,anzahl_personen,unfaelle_je_10k_kfz,anzahl_kfz_je_person
11000,"Berlin, kreisfreie Stadt",15738,70254,63615,269636,188109,204821,786,57493,16498,1311,10496,27329,45062,85906,92903,805,20932,3904,0,0,0,0,0,0,0,4886,212,1910,2093,6702,2306,1470,0,341,181,0,4,5,1409,5087,9161,229,5897,19,0,0,3,128,1716,30,1636,25,1,0,7,56,260,6,0,55,1221433,886950,288648,4886,15215,21811,3538,385,17262,82664,93049,322868,281796,310077,1850,86299,25568,21502,3604,116.4,0.33891037735849056
12051,"Brandenburg an der Havel, kreisfreie Stadt",289,1810,1756,8255,5838,5366,24,1556,311,31,327,869,1333,3061,2397,26,439,74,0,0,0,0,1,0,0,52,2,18,21,89,57,25,0,5,3,0,0,0,15,82,161,11,106,0,0,0,0,5,17,0,29,0,0,0,0,2,12,1,0,0,34476,25205,8557,53,220,375,51,15,322,2155,2646,9694,9056,7967,61,2135,440,19546,70,83.7,0.49251428571428574
12052,"Cottbus, kreisfreie Stadt",471,2679,2373,11928,8453,7596,34,1947,579,47,395,1216,1788,4207,3397,13,600,70,0,0,0,0,0,0,0,60,4,24,58,152,42,37,0,17,1,0,0,0,26,112,212,12,173,1,0,0,0,3,30,2,14,0,0,0,0,3,20,0,0,0,48796,36060,11733,60,335,536,49,23,522,3098,3647,13897,12837,11272,61,2751,711,20040,95,72.0,0.5136421052631579
12053,"Frankfurt (Oder), kreisfreie Stadt",236,1446,1392,6639,5079,4993,29,1248,253,25,186,562,881,2275,1864,7,327,34,0,0,0,0,0,0,0,35,1,19,37,133,70,47,0,8,2,0,0,0,16,58,94,5,88,0,0,0,0,3,21,0,16,0,0,0,0,5,11,0,0,0,28145,21315,6161,35,317,261,40,16,262,1651,1991,7674,7496,7019,41,1687,324,19000,57,58.3,0.4937719298245614
12054,"Potsdam, kreisfreie Stadt",658,3244,3026,16066,12718,12696,51,3397,883,77,679,1717,3074,7321,6382,60,1378,189,0,0,0,0,0,0,0,256,15,74,84,344,139,116,0,30,9,0,0,0,65,186,267,19,273,1,0,0,0,5,93,2,101,0,1,0,0,7,24,0,0,2,75729,52739,20877,256,811,811,201,34,751,3997,4827,19556,20393,19554,132,5179,1340,21918,176,100.1,0.4302784090909091
12060,"Barnim, Landkreis",1028,5708,5122,24155,17713,15895,35,3980,1475,135,1230,3023,4510,9849,7509,31,1146,256,0,0,0,0,0,0,0,201,10,137,161,593,233,139,0,27,18,0,1,0,72,232,436,9,256,0,0,0,0,15,83,1,61,0,0,0,0,7,23,2,0,2,105519,75111,27689,201,1318,1006,160,34,1173,7076,8306,29337,28065,24064,76,5470,1952,22153,179,85.1,0.5894916201117318
12061,"Dahme-Spreewald, Landkreis",1130,5761,4860,22513,15925,15141,89,3893,1222,136,1180,3115,4928,10672,8375,51,1381,235,0,0,0,0,0,0,0,208,16,142,159,587,262,145,0,22,14,0,0,1,64,299,565,20,260,0,0,0,0,12,97,1,72,0,0,0,1,3,29,1,0,2,103589,70534,30073,208,1347,1209,182,36,1282,7083,8136,28095,27199,24324,161,5628,1681,22779,167,79.2,0.6202934131736527
12062,"Elbe-Elster, Landkreis",945,4444,3590,15121,9331,7374,16,1721,906,95,845,2006,3369,6661,4641,23,667,116,0,0,0,1,0,0,0,88,0,45,84,270,126,53,0,8,6,0,0,0,20,101,231,10,144,0,0,0,0,3,29,0,14,0,0,0,0,5,30,0,0,0,63139,43448,18423,89,592,506,46,35,1040,5334,5680,18786,16252,12328,49,2554,1116,20208,102,47.7,0.6190098039215687
12063,"Havelland, Landkreis",967,4848,4482,21218,14836,14088,58,3611,1362,115,1025,2743,4403,9311,6984,33,1003,267,0,0,0,0,0,0,0,187,8,100,129,509,159,85,0,17,6,0,1,1,63,281,528,10,255,0,0,0,0,9,77,0,41,2,0,1,2,4,24,0,0,1,93854,65470,25884,187,1013,1139,129,32,1090,5975,7357,26197,24620,21762,101,4927,1825,22044,160,64.3,0.5865875
12064,"Märkisch-Oderland, Landkreis",1309,6491,5840,26638,18801,17266,57,4197,2359,156,1368,3390,5002,10940,8407,48,1351,334,0,0,0,0,0,0,0,162,10,132,181,603,265,143,0,25,17,0,0,0,106,297,430,27,276,0,0,0,0,13,83,2,72,1,0,0,0,9,36,0,0,0,116844,82958,30996,162,1376,1136,171,45,1475,7991,9411,32358,30352,26329,134,5921,2873,21931,186,59.1,0.6281935483870967
