landkreis,benzin,diesel,elektro,gas,hybrid,pih,sonstigeantriebe
Vogtlandkreis,71.53149084339807,26.999956293069538,0.10343973542738094,0.5441512842553067,0.7051384781246813,0.08668541208350938,0.029137953641515755
"Zwickau, Landkreis",72.66832407766154,25.692022902406475,0.14367816091954022,0.6419777002884325,0.7022471910112359,0.11139093374660984,0.040359033966162985
"Dresden, kreisfreie Stadt",69.14486097916549,28.134262035995256,0.27537113812773895,0.8015970650427504,1.4166947583169525,0.1843104120060065,0.04290361134581624
"Bautzen, Landkreis",70.95932370194673,27.31509894010516,0.1144487385758596,0.7657560527901718,0.7005147428773629,0.09509750258477223,0.04976032111993896
"Görlitz, Landkreis",74.79193676550541,23.72617902499547,0.09688706731908606,0.7297896365689431,0.5178927411372729,0.08015836504816472,0.05715639942564789
"Meißen, Landkreis",69.74559970967157,28.315006350934496,0.13427690074396662,0.7084013790600617,0.9588096534204319,0.08927599346761024,0.04863001270186899
"Sächsische Schweiz-Osterzgebirge, Landkreis",71.06240192781887,27.007677650750956,0.1337984756780991,0.718728984532616,0.9176754091010983,0.11348352387357094,0.046234028244788165
"Leipzig, kreisfreie Stadt",71.98683901701192,25.224927631979277,0.3229395759625164,0.9714265844902075,1.2839347340420908,0.16342568043325192,0.04650677608073924
"Leipzig, Landkreis",69.44720659426926,28.571895852413974,0.1635483448907497,0.9544681407824153,0.6862488551615858,0.13410964281041476,0.04252256967159493
"Nordsachsen, Landkreis",69.85201797604925,28.57897425684276,0.08745573094807207,0.7515997471576887,0.6026652350481007,0.09784651086269451,0.029440543091430203
"Dessau-Roßlau, kreisfreie Stadt",73.86244894081885,23.87669801462905,0.16148950318229316,0.8596941198822077,1.0686805357651752,0.10686805357651753,0.06412083214591052
"Halle (Saale), kreisfreie Stadt",74.59805367774253,23.135128251387577,0.10294070827452272,0.8638529539738297,1.0952042364877055,0.14326799605217078,0.06155217608167337
"Magdeburg, kreisfreie Stadt",72.10750661820794,25.920043074438016,0.23780679319782833,0.6972674653385381,0.8273881635033876,0.17140036792749136,0.03858751738681743
Altmarkkreis Salzwedel,62.44077925652165,35.996382865792526,0.11205252707936073,0.8020601938312135,0.5288092944622461,0.08453085376162299,0.035385008551377065
"Anhalt-Bitterfeld, Landkreis",73.0059565484333,25.62608386561682,0.08940208317625137,0.5256411637350683,0.6344316504917115,0.07324508019259147,0.04523960835424767
"Börde, Landkreis",67.42578744618174,31.15983080293073,0.11802250925296472,0.7581765994410454,0.4088299720522698,0.09819472769846666,0.03115794244278269
Burgenlandkreis,71.75049435166513,26.466902911290795,0.10278598978013588,0.882001683732404,0.6147581103040508,0.12138535935939856,0.06167159386808153
"Harz, Landkreis",68.13039449943922,30.14499114123633,0.08289852245574682,0.8842509061946326,0.6022333837226312,0.11053136327432908,0.04470018367711839
"Jerichower Land, Landkreis",67.96390195683611,30.491131084222665,0.10067912647128816,0.6370242911274231,0.6882791191491698,0.07688224203262004,0.042102180160720495
"Mansfeld-Südharz, Landkreis",70.25489360635605,28.360359908769645,0.08897466101907316,0.5175568309982707,0.6729491967217224,0.06641770470437856,0.03884809143086292
Saalekreis,70.91273032411453,27.15988951435265,0.10576553267368274,0.772700255235831,0.8802139785322192,0.12499562952344323,0.04370476556763749
Salzlandkreis,71.90802329772904,26.379745394524655,0.05691627615777192,0.7863932155798821,0.7475004268720712,0.059762089965660514,0.06165929917091958
"Stendal, Landkreis",64.86601045542317,33.59236408734831,0.0863435846716589,0.7158668110959355,0.6436521766432753,0.07221463445266017,0.023548250364997882
"Wittenberg, Landkreis",72.16825902335457,26.01512738853503,0.0902335456475584,0.7603503184713376,0.8373142250530785,0.08492569002123143,0.043789808917197456
"Erfurt, kreisfreie Stadt",68.28448701085169,29.585251561986187,0.2671818480762907,0.7388605721802038,0.8580647813219335,0.23429792831305493,0.03185629727063466
"Gera, kreisfreie Stadt",71.55178060656347,26.62940238869844,0.10262232799842792,0.7052555732657918,0.8799318762418393,0.10480578178562851,0.026201445446407127
"Jena, kreisfreie Stadt",66.94770851313373,30.633561264909602,0.22571864834362346,0.6572395937064329,1.2901369802385536,0.2058022970191861,0.03983270264887472
"Suhl, kreisfreie Stadt",67.5033154870082,30.261800677832902,0.07367748907117246,0.6532737364310625,1.360577631514318,0.10314848469964144,0.04420649344270347
