landkreis,euro1,euro2,euro3,euro4,euro5,euro6,euro6dt,euro6d,sonstigeemissionsgruppen
"Nienburg (Weser), Landkreis",903,6003,6548,22842,20564,15580,3277,44,1487
"Schaumburg, Landkreis",1373,7613,8051,28584,26192,22013,4919,61,2311
"Celle, Landkreis",1232,7668,8536,29886,29413,24638,6121,43,1876
"Cuxhaven, Landkreis",1205,8077,10068,35451,34189,28098,5866,98,2242
"Harburg, Landkreis",1880,9383,11318,41178,45149,42137,10504,168,4261
"Lüchow-Dannenberg, Landkreis",463,2858,3172,9242,7740,5548,1215,14,562
"Lüneburg, Landkreis",1139,6294,7726,27257,27993,25074,6178,102,2061
"Osterholz, Landkreis",765,4628,5634,20735,19429,16387,3458,77,1258
"Rotenburg (Wümme), Landkreis",1070,7566,8476,30872,30120,25987,6544,124,1752
Heidekreis,1062,6218,7181,24859,23556,18361,4089,56,2460
"Stade, Landkreis",1234,7371,8854,33544,34438,29700,7773,168,2211
"Uelzen, Landkreis",633,3927,4303,15577,14888,12933,3384,51,927
"Verden, Landkreis",898,4984,5991,24045,23926,19896,5026,92,1591
"Delmenhorst, kreisfreie Stadt",353,2696,3445,12439,10608,9536,2462,46,766
"Emden, kreisfreie Stadt",195,1386,1706,6837,6376,6231,1533,21,328
"Oldenburg (Oldenburg), kreisfreie Stadt",1058,5285,6082,22563,22902,22290,6099,181,2228
"Osnabrück, kreisfreie Stadt",991,5126,5839,22147,20115,22437,6565,251,1711
"Wilhelmshaven, kreisfreie Stadt",370,2599,3438,11383,10392,9333,2317,55,509
"Ammerland, Landkreis",806,4767,5943,21464,22067,19037,4053,85,1678
"Aurich, Landkreis",1193,7847,9158,33543,31412,26035,5470,103,1934
"Cloppenburg, Landkreis",824,5961,8378,29306,29459,20836,3798,83,1991
"Emsland, Landkreis",1500,9564,13787,54267,60244,48295,10029,152,2897
"Friesland, Landkreis",724,4578,5393,18111,17605,14875,3159,66,1214
"Grafschaft Bentheim, Landkreis",681,4158,6286,22421,25007,20382,4007,79,1342
"Leer, Landkreis",967,7095,9057,30988,27730,21510,4143,77,1588
"Oldenburg, Landkreis",821,5024,6255,23059,23010,19420,4228,77,1557
"Osnabrück, Landkreis",2404,14781,16761,66459,61655,52401,11557,214,3883
"Vechta, Landkreis",853,4830,6259,24400,25143,20484,4144,107,1351
"Wesermarsch, Landkreis",577,3434,4664,15278,14403,11770,2412,48,885
"Wittmund, Landkreis",448,2596,3028,10522,9582,7536,1551,25,709
"Bremen, kreisfreie Stadt",3252,15040,18718,65401,57488,58966,17891,578,6390
"Bremerhaven, kreisfreie Stadt",366,2967,4007,14742,12990,12058,3093,47,553
"Düsseldorf, kreisfreie Stadt",4454,16533,19024,66880,65436,97093,35310,851,8712
"Duisburg, kreisfreie Stadt",2548,14924,20302,69899,53284,52671,14315,406,4431
"Essen, kreisfreie Stadt",3209,16986,20326,75721,66567,78530,24899,748,5057
"Krefeld, kreisfreie Stadt",1416,7316,8968,33224,28126,29488,8405,180,2388
"Mönchengladbach, kreisfreie Stadt",1697,8651,11176,38769,33337,33141,9285,205,2884
"Mülheim an der Ruhr, kreisfreie Stadt",1212,5843,6709,24669,22638,24165,7086,174,1971
"Oberhausen, kreisfreie Stadt",1324,6978,8562,31887,26612,27141,7348,163,1801
"Remscheid, kreisfreie Stadt",613,3210,3879,15660,15389,17294,4811,102,1238
"Solingen, kreisfreie Stadt",1118,5841,6657,24785,21569,22246,11184,177,2108
"Wuppertal, kreisfreie Stadt",1929,10296,12239,46728,41216,44501,13414,314,3636
"Kleve, Landkreis",2059,11803,16667,54521,51912,43233,9824,187,3687
"Mettmann, Landkreis",3152,16575,19188,74761,72415,81401,23497,476,5589
Rhein-Kreis Neuss,3738,14283,17935,68837,66941,72694,20646,370,9376
"Viersen, Landkreis",2216,11578,14354,51814,48349,45266,10699,229,4588
"Wesel, Landkreis",2926,16718,21450,79932,73503,69531,18072,422,4563
"Bonn, kreisfreie Stadt",2788,9478,10893,39423,36374,53710,17266,406,4911
"Köln, kreisfreie Stadt",6285,26627,33319,120513,103435,127807,59333,1400,12095
"Leverkusen, kreisfreie Stadt",1061,5182,6293,23996,21136,23312,8398,307,1522
"Städteregion Aachen, Landkreis",3217,16313,20777,75096,72890,76469,22705,660,6105
"Düren, Landkreis",1923,9472,12232,43701,41217,39490,10792,257,3215
Rhein-Erft-Kreis,3301,15269,20409,74182,69463,71688,21191,283,4903
"Euskirchen, Landkreis",1361,7211,9674,33976,33101,29328,12474,668,2606
"Heinsberg, Landkreis",1755,9661,12955,43832,41400,38951,9621,252,2804
Oberbergischer Kreis,1941,9661,12501,48523,46562,43324,11377,194,3587
Rheinisch-Bergischer Kreis,2396,10398,12172,45700,45141,46607,13456,201,4633
Rhein-Sieg-Kreis,4445,21763,27086,98868,93996,89639,24139,366,6829
"Bottrop, kreisfreie Stadt",864,4112,4991,18673,16420,16534,4611,59,2603
"Gelsenkirchen, kreisfreie Stadt",1793,8230,10139,35491,27498,27961,8377,167,3372
"Münster, kreisfreie Stadt",1833,8835,10150,36616,36289,38018,11615,386,3590
"Borken, Landkreis",1866,11338,16381,61908,63481,53453,12012,538,4343
"Coesfeld, Landkreis",1372,7713,10539,38353,39315,32456,7647,224,2692
"Recklinghausen, Landkreis",3763,21783,26313,99607,89232,84756,22933,459,6051
"Steinfurt, Landkreis",2415,15179,20271,78309,75290,62724,14034,306,5227
"Warendorf, Landkreis",2052,10779,13038,49200,45861,38185,9628,262,3575
"Bielefeld, kreisfreie Stadt",1884,10575,12210,45928,41685,43418,12505,266,3892
"Gütersloh, Landkreis",2603,14776,16890,63863,59294,53358,13346,202,4850
"Herford, Landkreis",1831,10194,12016,44281,41362,39748,10034,201,2704
"Höxter, Landkreis",865,5401,6367,24725,24569,20679,4936,78,1702
"Lippe, Landkreis",2560,15503,16968,59658,55792,50281,11372,127,4189
"Minden-Lübbecke, Landkreis",2547,14192,16022,57886,50271,45213,11502,215,4455
"Paderborn, Landkreis",1578,10268,12874,50172,49281,43834,10882,178,3453
"Bochum, kreisfreie Stadt",2165,11561,13083,51101,44042,48318,28923,659,3479
"Dortmund, kreisfreie Stadt",3378,17294,21051,78919,68544,73234,22561,391,5798
"Hagen, kreisfreie Stadt",1306,6096,7337,27802,23759,23836,6471,158,1935
"Hamm, kreisfreie Stadt",983,6343,8024,28042,23964,22046,5891,109,2008
"Herne, kreisfreie Stadt",1064,5212,6324,22960,17623,17761,4826,64,1835
Ennepe-Ruhr-Kreis,2266,12330,13827,52424,49523,50814,13691,181,3761
Hochsauerlandkreis,1486,8428,10277,40597,46138,45728,11307,234,2526
Märkischer Kreis,2561,13761,17575,66619,65474,65652,16820,305,4354
"Olpe, Landkreis",845,3821,4999,22765,25462,24296,5562,126,1514
"Siegen-Wittgenstein, Landkreis",1637,7957,9742,42839,47576,49124,13568,332,3248
"Soest, Landkreis",2149,12032,13876,51757,50259,45351,11034,269,3445
"Unna, Landkreis",2694,14056,16821,63998,59857,60375,17517,280,4022
"Darmstadt, kreisfreie Stadt",1009,4530,5072,18021,16427,19381,6601,250,1956
"Frankfurt am Main, kreisfreie Stadt",3859,16182,19092,70727,67305,108861,44171,1007,9091
"Offenbach am Main, kreisfreie Stadt",791,3688,4439,14844,12622,14669,4611,65,1098
"Wiesbaden, kreisfreie Stadt",1640,7674,9448,35736,34818,40197,26804,3857,3828
"Bergstraße, Landkreis",2340,11479,12813,45658,43725,41531,13527,305,3708
"Darmstadt-Dieburg, Landkreis",2360,11457,13317,47867,47381,46737,14749,275,4356
"Groß-Gerau, Landkreis",1791,9106,11512,42271,36682,38467,15191,1099,3018
Hochtaunuskreis,1937,7394,8634,33324,37703,43857,30581,1196,4105
Main-Kinzig-Kreis,3058,15261,18046,67470,67746,64824,16220,358,5186
Main-Taunus-Kreis,1748,7444,8489,35333,38429,48282,46896,1313,4526
Odenwaldkreis,779,4252,5099,16680,16208,14567,3626,44,1126
"Offenbach, Landkreis",2885,12360,14256,53434,52175,57341,15837,379,6194
Rheingau-Taunus-Kreis,1448,6562,7905,30209,32447,31734,8137,128,2969
Wetteraukreis,2406,10987,13086,49251,49494,48512,13219,323,3784
"Gießen, Landkreis",1803,9121,10588,41228,40185,37870,10357,358,3036
Lahn-Dill-Kreis,1810,9278,11255,42935,43169,40625,10144,199,3603
"Limburg-Weilburg, Landkreis",1164,6203,7466,28949,29665,28236,7433,139,2152
"Marburg-Biedenkopf, Landkreis",1446,7903,9280,37738,39129,35506,8248,229,2763
Vogelsbergkreis,772,4555,5406,19791,19537,16597,3555,69,1380
"Kassel, kreisfreie Stadt",1012,5383,6316,22966,21697,23076,7756,191,1904
"Fulda, Landkreis",1491,8318,9924,37988,38935,34347,8083,226,2483
"Hersfeld-Rotenburg, Landkreis",843,5153,5723,22463,21750,17626,3668,94,1326
"Kassel, Landkreis",1579,8948,9563,37499,39229,38776,10846,142,2718
Schwalm-Eder-Kreis,1210,7430,8416,31862,31342,29160,6766,125,1972
"Waldeck-Frankenberg, Landkreis",1305,6212,7149,27972,28707,25120,5581,137,2282
Werra-Meißner-Kreis,743,4476,4834,17399,16712,14278,3054,49,996
"Koblenz, kreisfreie Stadt",608,2995,3935,15738,15617,17519,6123,140,1039
"Ahrweiler, Landkreis",1085,5289,6524,24537,22611,19157,4311,69,1711
"Altenkirchen (Westerwald), Landkreis",862,4707,6055,22471,22458,20798,5182,94,1266
"Bad Kreuznach, Landkreis",1255,6475,7573,27606,26194,23402,5334,96,2007
"Birkenfeld, Landkreis",589,3259,3814,14136,14141,12520,2871,72,786
"Cochem-Zell, Landkreis",444,2236,3047,11206,12038,9610,1966,74,646
"Mayen-Koblenz, Landkreis",1539,7347,9493,37373,38293,33410,8206,174,2725
"Neuwied, Landkreis",1392,6957,9328,33300,31552,27610,7159,128,2312
Rhein-Hunsrück-Kreis,646,3420,4607,18166,21068,17101,3663,62,1181
Rhein-Lahn-Kreis,956,4990,5797,21674,21328,18982,4734,87,1473
Westerwaldkreis,1214,6574,8457,33431,38170,36402,9715,214,2309
"Trier, kreisfreie Stadt",1571,7795,10551,38797,43451,37747,9089,190,2800
"Bernkastel-Wittlich, Landkreis",782,4086,5496,19860,21498,17531,3995,87,1222
Eifelkreis Bitburg-Prüm,725,3662,4888,17228,19494,15525,3301,89,1123
"Vulkaneifel, Landkreis",407,2222,2881,10787,11939,9814,2200,40,718
