landkreis,euro1,euro2,euro3,euro4,euro5,euro6,euro6dt,euro6d,sonstigeemissionsgruppen
"Nordhausen, Landkreis",0.8460201009287137,5.286035367456851,6.69394851787456,28.11797633688139,28.21975319112845,23.538017895763538,5.769475425130401,0.15902633476103642,1.3697468300750604
Wartburgkreis,0.8333220600370665,4.5738017613398085,6.220153948133818,26.107601358206733,29.683040002164475,25.607067003963692,5.399007048064826,0.1406907374088554,1.4353160806807268
Unstrut-Hainich-Kreis,0.8489203564760999,4.924442565782521,6.5624009299376524,28.07249286695551,28.45116066081933,24.26291873613019,5.239705519743563,0.15851209975694813,1.4794462643981825
Kyffhäuserkreis,1.1263798152737103,6.028384771344897,6.82135616129759,27.578283397161524,28.008560486596078,23.33633701284073,5.0439288127956745,0.09686866411353909,1.959900878576256
"Schmalkalden-Meiningen, Landkreis",0.843183609141056,4.418177042290517,6.216180719726819,24.82663514578408,29.01759915944313,26.757289204097717,6.14394536380352,0.11951667980036773,1.6574730759127922
"Gotha, Landkreis",0.7973936917882901,4.601762936300461,6.025774076166205,25.7044520053072,28.729818845815323,26.17999816087122,6.2175689344876055,0.11560238035810465,1.6276289689055872
"Sömmerda, Landkreis",0.8915525396864706,4.962975804254687,6.4786151217216865,27.031377696327297,29.260259045543474,24.12392580301642,5.648975952846777,0.15106862478020752,1.4512494118229773
"Hildburghausen, Landkreis",0.7375381485249237,4.270091556459817,5.5162767039674465,25.546795523906408,30.274669379450664,25.836724313326553,6.302136317395727,0.08901322482197355,1.4267548321464902
Ilm-Kreis,0.9352628088492866,4.873569473021919,5.791827503528491,24.830377336031425,28.66155389664496,26.498546091451697,6.38359378985495,0.18195112826704304,1.8433179723502304
"Weimarer Land, Landkreis",0.9658139102020556,4.762889582859389,6.245734494240274,25.262134717597668,27.843153475482392,26.6705271648088,5.718362873037868,0.09513370421690484,2.43625007755465
"Sonneberg, Landkreis",0.6951397431129673,4.087879394684898,5.174929198729869,23.380152759104043,29.298852876390995,28.83256572360328,7.183110678833995,0.1230082672998255,1.2243613582401236
"Saalfeld-Rudolstadt, Landkreis",0.8268982202631493,4.817220693997945,6.0169688131773436,25.461505319325223,28.61332979816392,26.364630630033474,6.217479203261194,0.12096907831504987,1.5609982434626986
